mph Wind Speed,Deg Wind Direc,Deg F Av Air Temp,% Rel Humidty,volts Battery Voltage,Deg Dir MxGust,mph Mx Gust Speed,ly Solar Rad.,Deg F Mn Air Temp,Deg F Mx Air Temp,"Deg F 2"" Soil Ave Tmp","Deg F 4"" Soil Ave Tmp","Deg F 8"" Soil Av Temp","Deg F 20""Soil Av Temp"
4.428,49.35,59.96,88.2,12.52,85.0,16.24,5.747999999999999,59.37,60.33,64.28,61.68,61.85,61.37
4.3469999999999995,30.13,59.33,91.2,12.33,40.0,16.37,0.2187,58.52,59.73,63.61,61.77,61.65,61.25
4.592,35.97,58.6,89.7,12.26,163.0,21.54,0.007225,58.34,58.84,62.9,61.8,61.57,61.2
4.263999999999999,19.19,58.33,88.9,12.24,35.0,17.34,0.009203,58.05,58.72,62.36,61.74,61.47,61.14
3.755,8.62,58.19,89.6,12.22,164.0,16.89,0.0067090000000000006,57.87,58.53,61.79,61.72,61.47,61.12
3.6689999999999996,356.6,57.98,85.9,12.22,287.0,16.37,0.007397,57.62,58.29,61.36,61.63,61.43,61.1
3.827,2.925,57.66,85.4,12.21,194.0,10.31,0.005333,57.09,57.99,60.89,61.49,61.37,61.06
3.76,359.6,57.33,84.8,12.21,21.0,12.15,0.004386999999999999,57.09,57.58,60.38,61.38,61.33,61.06
4.122,358.9,57.04,86.5,12.2,72.0,11.7,0.0055049999999999995,56.67,57.4,60.19,61.25,61.28,61.05
4.177,2.072,56.67,85.0,12.19,120.0,12.82,0.001978,56.18,56.97,59.8,61.13,61.24,61.07
3.358,1.047,56.33,86.6,12.18,333.0,12.44,0.001204,55.82,56.73,59.37,60.95,61.17,61.06
3.571,354.8,55.81,87.1,12.18,277.0,9.98,0.000516,55.33,56.36,58.95,60.8,61.12,61.07
3.432,357.4,55.84,87.1,12.17,343.0,11.5,0.001204,55.09,56.67,58.62,60.65,61.08,61.11
3.759,358.4,56.46,89.1,12.17,97.0,13.91,0.1066,55.45,56.97,58.61,60.55,61.06,61.18
4.186,6.207000000000001,57.78,83.8,12.29,200.0,12.48,6.294,56.73,59.52,58.43,60.42,61.02,61.22
4.704,7.055,61.17,81.1,12.68,95.0,14.94,24.11,59.46,62.73,58.71,60.45,61.08,61.42
3.56,40.91,62.54,76.86,12.97,45.0,13.42,29.3,60.47,64.41,59.37,60.27,60.94,61.34
3.7510000000000003,62.32,64.05,76.07,13.06,263.0,13.8,33.5,62.02,68.02,60.64,60.27,60.92,61.36
4.363,106.5,66.57,75.34,13.25,318.0,17.72,56.25,64.62,68.06,62.51,60.37,60.89,61.37
4.9,74.79,66.12,71.05,13.22,323.0,15.32,59.51,63.43,68.35,64.4,60.33,60.62,61.07
4.563,87.5,64.71,85.5,13.22,4.0,13.6,42.62,62.52,68.29,66.34,60.59,60.52,60.91
3.931,55.98,63.97,85.4,13.25,13.0,13.38,44.25,62.55,66.07,67.14,60.98,60.47,60.75
4.073,11.75,61.73,90.5,13.27,184.0,11.52,30.1,60.61,63.16,67.68,61.54,60.63,60.75
3.492,42.26,60.04,92.6,13.13,227.0,13.29,13.43,59.22,60.87,67.45,62.11,60.88,60.81
3.4219999999999997,100.8,59.16,93.3,12.86,74.0,10.58,5.235,57.85,60.77,66.76,62.58,61.17,60.86
3.657,67.04,57.94,92.6,12.6,299.0,12.39,0.08772999999999999,57.68,58.16,65.71,62.85,61.38,60.92
3.367,20.79,57.8,91.7,12.56,77.0,12.84,0.008773,57.56,58.05,64.63,63.11,61.62,60.95
2.5660000000000003,3.6830000000000003,57.68,90.7,12.53,90.0,9.42,0.009461,56.91,58.05,63.73,63.1,61.8,60.99
2.9,355.3,56.53,91.1,12.51,31.0,8.86,0.007139,55.88,57.09,62.78,62.92,61.85,60.96
2.8510000000000004,346.7,55.9,87.9,12.48,79.0,7.65,0.0009460000000000001,55.27,56.43,61.82,62.81,61.96,61.06
3.7260000000000004,350.4,54.79,85.9,12.46,283.0,11.1,0.000172,54.3,55.52,60.89,62.63,62.01,61.14
5.01,359.2,53.88,81.6,12.43,347.0,9.82,0.0,53.05,54.61,60.14,62.41,62.01,61.2
5.935,358.5,53.59,76.01,12.42,355.0,13.4,0.0,53.24,54.15,59.36,62.18,61.99,61.28
6.117999999999999,1.368,54.31,76.92,12.41,2.0,15.03,0.0,53.54,54.82,58.66,61.96,61.97,61.37
5.3260000000000005,0.353,55.19,83.6,12.4,308.0,11.56,0.0,54.27,55.91,58.16,61.7,61.92,61.46
4.556,0.048,55.58,79.56,12.39,2.0,10.29,0.0,54.42,56.32,57.82,61.41,61.79,61.47
5.008,4.67,56.16,77.74,12.38,303.0,10.67,0.0,55.27,56.97,57.56,61.14,61.67,61.48
5.601,0.16399999999999998,56.47,77.74,12.37,303.0,11.65,0.1707,56.0,56.85,57.3,60.86,61.51,61.45
4.683,359.2,58.41,80.1,12.49,345.0,11.92,5.27,56.43,60.8,57.2,60.7,61.46,61.55
4.81,11.21,63.01,69.11,13.12,73.0,15.75,29.67,59.89,66.36,57.7,60.87,61.7,61.99
3.72,59.77,67.03,66.69,13.29,24.0,11.81,50.28,65.13,68.68,58.81,60.64,61.53,61.96
3.8160000000000003,77.33,65.43,81.3,13.23,49.0,13.42,35.32,63.02,68.74,60.73,60.13,60.97,61.42
3.345,65.24,62.94,88.6,13.2,110.0,10.33,18.24,61.95,64.6,62.01,60.02,60.66,61.13
3.0239999999999996,107.3,62.0,90.1,13.18,124.0,12.33,15.45,61.28,63.4,62.77,60.4,60.73,61.21
2.852,124.5,61.33,91.5,13.28,116.0,11.83,15.91,60.64,62.02,63.16,60.71,60.78,61.2
3.005,109.0,61.64,92.6,13.32,90.0,11.34,20.32,60.64,62.28,63.67,61.06,60.91,61.26
3.2460000000000004,134.3,61.3,93.5,13.26,121.0,10.8,15.5,60.34,62.59,64.28,61.3,60.97,61.21
3.15,108.6,60.45,94.6,13.1,162.0,8.93,8.704,60.04,60.83,64.33,61.6,61.05,61.16
3.262,100.2,60.47,94.1,12.91,135.0,13.04,4.947,59.79,61.25,64.31,62.07,61.28,61.16
3.387,38.85,59.63,94.2,12.64,233.0,10.6,0.4469,59.25,60.04,64.02,62.34,61.51,61.16
3.839,26.98,59.08,92.4,12.6,76.0,12.66,0.0037840000000000005,58.77,59.5,63.55,62.28,61.61,61.2
4.194,354.2,58.41,92.5,12.57,135.0,11.95,0.008343000000000001,57.68,59.26,63.02,62.18,61.57,61.14
4.9639999999999995,2.884,58.51,91.2,12.55,32.0,15.5,0.0012900000000000001,57.81,59.04,62.4,62.19,61.68,61.21
4.243,355.0,58.54,93.2,12.53,87.0,14.58,0.001118,58.07,59.03,61.85,62.1,61.72,61.25
4.26,357.3,58.45,93.5,12.52,15.0,14.81,0.0007740000000000001,57.88,58.91,61.44,62.03,61.78,61.35
3.9560000000000004,15.38,58.65,93.4,12.5,157.0,12.95,0.001462,58.29,58.96,61.09,61.84,61.72,61.34
4.5280000000000005,6.013999999999999,58.62,93.4,12.49,279.0,13.53,0.0018920000000000002,58.29,59.02,60.8,61.65,61.66,61.33
4.218,6.002000000000001,58.55,93.4,12.48,292.0,16.17,0.001462,58.23,58.9,60.57,61.55,61.65,61.38
3.989,358.0,58.39,94.3,12.47,232.0,13.04,0.002752,57.99,58.9,60.39,61.37,61.52,61.33
4.482,3.32,58.37,94.1,12.45,254.0,19.82,0.001032,58.11,58.72,60.23,61.32,61.53,61.4
4.593999999999999,3.1,58.35,92.5,12.44,39.0,15.64,0.0015480000000000001,58.05,58.6,60.09,61.17,61.42,61.34
4.386,356.9,58.2,92.8,12.43,359.0,13.31,0.1983,57.99,58.48,59.92,61.08,61.36,61.35
4.578,356.1,58.55,92.9,12.47,317.0,14.29,2.988,57.88,59.39,59.82,61.05,61.36,61.41
4.478,5.815,59.52,94.7,12.76,70.0,13.13,8.42,59.02,60.11,60.02,61.05,61.38,61.46
3.827,50.19,60.92,90.6,13.08,197.0,15.41,19.19,59.45,63.14,60.61,61.06,61.42,61.56
4.709,15.76,62.28,85.6,13.33,233.0,17.29,40.5,60.89,64.41,61.76,61.0,61.35,61.53
4.263,33.07,63.3,88.8,13.31,294.0,13.47,38.51,61.95,65.19,63.37,61.02,61.23,61.44
4.016,68.26,62.67,89.0,13.31,302.0,12.82,36.66,61.77,63.53,64.79,61.16,61.14,61.32
3.5580000000000003,91.1,61.52,90.7,13.31,322.0,13.8,24.97,60.55,63.34,65.7,61.43,61.1,61.21
3.533,58.76,62.04,88.6,13.33,159.0,11.01,27.84,60.93,63.24,66.12,61.91,61.28,61.29
3.798,43.62,62.66,90.4,13.32,36.0,11.86,24.8,61.54,63.95,66.6,62.29,61.43,61.31
3.636,72.9,61.26,93.4,13.23,187.0,14.94,12.57,60.32,62.8,66.75,62.52,61.47,61.19
3.805,47.43,60.08,94.9,12.95,338.0,12.91,5.474,59.37,60.7,66.28,62.81,61.65,61.22
3.822,39.92,59.08,94.9,12.66,198.0,11.79,0.1854,58.76,59.67,65.65,63.0,61.84,61.27
4.137,34.92,58.83,92.5,12.62,341.0,14.54,0.008859,58.29,59.2,64.76,63.15,61.98,61.36
4.351,3.569,58.08,92.6,12.59,53.0,16.02,0.01256,57.62,58.6,63.72,63.11,62.04,61.28
4.533,7.817,58.41,93.4,12.57,123.0,13.49,0.008256999999999999,58.05,58.73,62.91,63.14,62.23,61.42
4.79,8.21,58.27,93.2,12.55,129.0,16.64,0.007568999999999999,57.81,58.66,62.3,63.03,62.3,61.48
4.345,2.9339999999999997,58.06,92.7,12.54,32.0,16.71,0.008256999999999999,57.69,58.47,61.79,62.84,62.29,61.49
4.147,358.2,57.89,93.6,12.52,134.0,13.91,0.008773,57.46,58.25,61.37,62.68,62.3,61.55
4.018,357.3,57.85,92.6,12.5,84.0,14.76,0.008429,57.4,58.19,61.06,62.53,62.29,61.61
4.302,358.9,57.79,93.5,12.49,11.0,12.5,0.009117,57.28,58.13,60.79,62.33,62.22,61.62
4.285,4.107,57.6,94.2,12.47,285.0,13.76,0.007913,57.15,58.01,60.49,62.17,62.16,61.65
4.198,1.3359999999999999,57.92,95.9,12.46,21.0,13.96,0.007397,57.52,58.18,60.35,62.05,62.14,61.73
4.515,35.21,58.04,95.8,12.44,100.0,15.73,0.008773,57.75,58.29,60.38,61.87,62.04,61.71
4.595,24.81,57.17,94.4,12.43,208.0,16.04,0.1294,56.12,57.99,60.26,61.63,61.9,61.64
4.303,20.25,57.35,92.9,12.49,261.0,16.06,3.077,56.3,58.49,60.09,61.53,61.85,61.7
4.6530000000000005,25.88,58.17,95.1,12.7,24.0,15.77,7.853,57.75,58.67,60.24,61.47,61.81,61.75
5.421,28.18,57.98,91.6,12.81,209.0,21.3,10.78,57.69,58.29,60.46,61.34,61.69,61.69
4.98,33.41,58.42,92.4,13.2,146.0,21.23,15.35,57.99,59.02,60.83,61.28,61.62,61.68
5.035,39.51,58.87,91.1,13.36,74.0,25.5,24.23,58.29,59.63,61.39,61.35,61.62,61.7
4.027,34.42,59.23,94.1,13.25,41.0,20.56,18.33,58.35,61.21,62.19,61.39,61.61,61.72
4.058,10.76,59.32,90.4,13.3,347.0,14.76,17.44,58.47,60.54,62.67,61.47,61.58,61.68
3.8710000000000004,15.9,60.21,92.7,13.37,279.0,13.38,32.7,59.08,62.42,63.31,61.69,61.63,61.72
3.906,60.48,59.55,91.5,13.37,105.0,15.75,23.58,58.88,60.46,64.12,61.79,61.57,61.6
4.637,25.55,59.85,91.0,13.36,50.0,13.94,27.11,59.0,60.58,64.69,62.03,61.64,61.61
4.342,19.09,57.39,92.9,12.92,350.0,17.56,4.748,56.71,59.25,64.86,62.08,61.53,61.4
4.3389999999999995,7.335,57.01,93.9,12.7,72.0,14.94,0.9487,56.6,57.44,64.13,62.36,61.68,61.45
4.819,8.88,56.46,91.1,12.62,135.0,16.15,0.0129,55.45,57.15,63.22,62.52,61.8,61.48
4.265,359.7,55.71,90.1,12.59,86.0,14.81,0.009461,55.33,56.0,62.26,62.5,61.85,61.45
4.883,359.0,55.78,88.8,12.57,35.0,13.82,0.004043,55.33,56.12,61.41,62.5,61.96,61.53
3.6919999999999997,0.674,55.62,90.3,12.54,157.0,11.9,0.0018920000000000002,55.27,56.06,60.67,62.39,62.03,61.57
3.783,357.7,55.87,88.7,12.52,314.0,12.82,0.003698,55.45,56.3,60.1,62.23,62.04,61.61
3.888,356.3,55.52,88.8,12.5,239.0,12.28,0.0007740000000000001,54.97,56.18,59.58,62.0,61.98,61.6
3.6239999999999997,354.9,55.37,89.5,12.48,271.0,13.27,0.000172,54.97,55.82,59.12,61.8,61.95,61.64
5.232,354.2,55.53,86.2,12.46,21.0,12.64,8.6e-05,54.97,55.94,58.71,61.6,61.89,61.67
5.1610000000000005,359.3,54.93,87.0,12.44,97.0,17.54,0.000172,54.42,55.64,58.31,61.35,61.76,61.64
5.816,356.6,54.91,88.9,12.42,195.0,15.61,8.6e-05,54.54,55.33,57.95,61.15,61.68,61.65
3.772,357.3,54.23,87.8,12.41,12.0,11.72,0.000344,53.76,54.97,57.57,60.9,61.54,61.61
3.94,1.042,54.77,88.2,12.4,243.0,12.91,0.1427,53.96,55.72,57.3,60.75,61.49,61.67
4.419,0.22699999999999998,56.65,80.2,12.55,174.0,13.94,6.206,55.35,59.04,57.2,60.63,61.45,61.75
4.561,21.86,60.72,69.59,13.28,281.0,15.3,30.04,58.92,63.03,57.54,60.65,61.54,62.0
4.894,62.2,64.13,70.74,13.34,313.0,16.06,52.23,62.42,65.87,58.47,60.55,61.5,62.07
4.792,103.2,65.53,78.92,13.29,302.0,23.58,60.29,62.48,67.47,60.46,60.31,61.23,61.86
4.453,48.53,62.83,71.34,13.29,297.0,14.76,35.88,60.79,65.28,62.15,60.05,60.77,61.38
4.2410000000000005,61.66,63.16,85.7,13.28,162.0,15.1,37.15,60.19,66.68,63.48,60.51,60.87,61.48
4.487,70.41,61.36,90.1,13.31,289.0,14.12,28.72,60.12,63.53,64.08,60.76,60.77,61.3
4.548,54.32,58.7,93.9,13.32,341.0,13.82,14.05,57.97,60.43,64.12,61.05,60.75,61.15
3.9810000000000003,14.45,57.94,92.4,13.27,176.0,12.68,9.676,57.26,58.59,63.84,61.49,61.0,61.26
3.9819999999999998,27.63,57.73,93.4,13.11,240.0,13.18,7.354,57.08,58.53,63.74,61.75,61.15,61.25
3.824,37.29,57.59,94.4,12.77,260.0,14.83,2.3890000000000002,57.26,58.35,63.08,61.91,61.27,61.26
4.189,56.93,57.75,96.2,12.64,167.0,14.32,0.1513,57.32,58.35,62.43,62.01,61.42,61.3
4.669,51.76,57.78,96.3,12.61,20.0,18.52,0.01737,57.26,58.23,61.92,62.01,61.51,61.32
4.864,49.32,57.49,96.3,12.59,352.0,19.57,0.01737,57.2,57.81,61.51,61.95,61.55,61.32
4.158,40.6,57.08,95.7,12.57,4.0,16.33,0.01737,56.84,57.5,61.12,61.84,61.57,61.32
3.835,20.66,56.93,95.2,12.56,150.0,15.05,0.014280000000000001,56.67,57.15,60.82,61.76,61.6,61.35
3.992,27.76,56.82,95.6,12.54,118.0,13.49,0.01135,56.49,57.09,60.56,61.66,61.6,61.39
4.725,35.57,56.87,96.5,12.52,81.0,17.25,0.01024,56.61,57.28,60.34,61.56,61.59,61.43
4.632,46.73,56.92,96.5,12.5,85.0,18.34,0.008171,56.48,57.34,60.16,61.45,61.56,61.43
4.186,24.2,56.49,95.9,12.48,85.0,18.19,0.009891,56.12,56.79,59.97,61.31,61.49,61.41
3.964,20.93,56.35,96.2,12.47,337.0,15.57,0.004386999999999999,56.06,56.61,59.82,61.21,61.43,61.42
3.878,38.75,56.24,96.2,12.45,81.0,17.0,0.004989,55.88,56.55,59.66,61.11,61.39,61.43
4.1339999999999995,14.76,56.26,94.1,12.44,116.0,18.86,0.006365,56.0,56.55,59.54,61.01,61.34,61.42
4.635,2.36,56.09,93.4,12.43,215.0,15.35,0.1259,55.64,56.43,59.38,60.89,61.27,61.39
5.055,4.519,56.11,88.1,12.59,289.0,16.69,7.01,55.45,57.46,59.19,60.82,61.22,61.4
4.144,5.5760000000000005,58.11,83.7,13.2,321.0,14.23,20.26,56.91,60.44,59.2,60.83,61.27,61.52
4.058,12.55,60.53,87.5,13.28,271.0,14.9,28.31,58.29,61.88,59.9,60.89,61.35,61.67
5.02,105.8,62.46,80.1,13.35,142.0,17.94,41.93,60.23,64.83,60.9,60.91,61.36,61.7
5.685,96.6,65.14,74.78,13.31,263.0,28.57,68.54,63.37,66.5,62.56,60.93,61.29,61.66
5.672999999999999,78.45,66.35,71.0,13.28,165.0,25.1,73.28,64.97,68.37,64.73,60.95,61.09,61.44
5.702000000000001,93.7,66.88,73.39,13.27,132.0,20.76,71.65,65.63,68.12,67.06,61.3,61.08,61.34
4.709,86.3,65.95,75.61,13.26,47.0,18.88,49.46,64.29,67.64,68.8,61.85,61.15,61.29
4.48,55.27,64.24,87.0,13.26,332.0,18.12,33.53,60.96,67.15,68.99,62.37,61.17,61.13
4.64,15.77,60.91,87.9,13.25,40.0,14.99,19.21,59.52,63.28,68.37,62.86,61.28,61.0
4.977,24.2,59.39,95.8,12.96,30.0,15.55,5.275,58.4,60.92,67.43,63.38,61.63,61.11
4.938,30.36,58.27,96.2,12.67,170.0,17.29,0.1433,57.79,58.7,66.26,63.7,61.99,61.26
4.619,29.92,58.07,97.0,12.63,206.0,18.95,0.004215,57.75,58.41,65.16,63.89,62.23,61.37
4.956,26.1,58.0,95.9,12.61,261.0,17.31,0.004731,57.75,58.35,64.3,63.9,62.44,61.4
4.803,33.77,58.01,95.7,12.59,173.0,19.35,0.003698,57.62,58.41,63.55,63.8,62.56,61.48
